19870      19.48   0.99  +38.46  0.12   1   SB N N     6.6    0.50 1
19877      22.51   0.82  +36.4   1.2    2   N I N      3.2    0.44 1
19934      19.48   1.17  +38.46  0.19   1   N N N      7.1    0.11 1
19981      30.56   1.52  +28.82  0.20   1   N I N     14.3   21.14 0
20019      21.40   1.24  +38.18  0.13   1   SB N N     2.1    0.83 1
20056      21.84   1.14  +37.7   0.4    5   SB N N     2.4    0.00 1
20082      20.01   1.91  +39.64  0.08   1   N N N      4.1    2.00 1
20086      19.57   1.86  +40.53  0.04   1   N N S      5.2    5.45 1
20087      18.25   0.82  +37.78  0.12   6   SB I O     9.7    0.08 1
20130      23.53   1.25  +39.58  0.06   1   N N N      4.9    1.10 1
20146      21.24   1.32  +38.80  0.08   1   N N N      2.0    0.07 1
20187      20.13   2.02  +37.99  0.06   1   N N N      5.0   10.97 1
20197      12.93   1.06  -19.10  1.3   12   N N N     31.2  657.25 0
20205      21.17   1.17  +39.28  0.11   1   N N N      2.0    0.22 1
20215      23.27   1.14  +39.21 0.27   1   SB I C     3.7    1.85 1
20219      22.31   0.92  +42.0   2.5    2   N I N      3.0    1.23 1
20226       4.91   0.88   +8.78  0.19   1   N N N    157.8  182.99 0
20237      22.27   0.93  +38.81  0.18   1   N N N      2.9    0.21 1
20255      21.12   0.77  +42.0  1.2    2   SB N N     2.5    8.65 1
20261      21.20   0.99  +36.2   1.2    2   N N N      2.1    0.65 1
20284      21.80   0.85  +39.2   0.3    7   SB N N     2.7    0.53 1
20319      11.64   3.73    N   N        0   N N N     41.3    9.00 ?
20349      19.55   0.89  +37.1   1.2    2   N N N      6.2    0.23 1
20350      19.83   0.89  +40.8   2.4   24   N N N      4.5    1.43 1
20357      19.46   1.02  +39.20  0.21   1   N N N      5.6    0.54 1
20400      21.87   0.96  +37.8   2.3    9   SB I N     2.5    0.24 1
20415      15.44   1.28  +26.77  0.20   1   N N N     22.6   28.11 0
20419      19.17   1.93  +40.77 0.20   1   SB N N     7.5    1.63 1
20440      21.45   2.76  +37.4   2.9   10   SB I C     1.7    0.21 1
20441      26.96   1.40  +34.8  2.6   24   SB N G     9.3   12.16 1
20455      21.29   0.93  +39.65  0.08   1   SB I N     1.4    0.17 1
20480      20.63   1.34  +39.24  0.24   1   N N N      4.5    0.28 1
20482      15.82   1.44  +39.90  0.09   1   SB N O    17.1    2.57 1
20484      21.17   0.80  +37.7   0.3   11   SB N N     1.3    0.17 1
20485      21.08   2.69  +39.30  0.21   1   N N N      1.6    1.36 1
20491      20.04   0.89  +35.9   0.5    8   N N N      7.4    0.81 1
20492      21.23   1.80  +40.29  0.06   1   N N N      2.0    0.34 1
20527      22.57   2.78  +40.64  0.26   1   N N N      3.0    0.83 1
20540       6.58   1.09  +59.3   1.0   12   N N N    105.8  113.29 0
20542      22.36   0.88  +39.2   1.2   27   N I N      1.9    0.39 1
20553      22.25   1.52  +37.48  0.19   1   H N C      2.2    6.15 1
20557      24.47   1.06  +38.94  0.13   1   N N N      6.7    0.52 1
20563      19.35   1.79  +39.95  0.16   1   N N N      5.5    1.33 1
20567      18.74   1.17  +40.1   0.6    8   N N N      7.1    0.81 1
20577      20.73   1.29  +38.80 0.08   1   RV N N     2.0    0.40 1
20601      14.97   1.51  +42.20  0.12   1   SB N N    23.5    8.76 1
20605      24.41   6.94  +40.2   0.36  24   H N C      5.4    1.10 1
20614      20.40   0.74  +36.6   1.2    2   N N N      3.4    1.05 1
20626      15.92   1.00    N   N        0   N N N     18.6   11.59 ?
20635      21.27   0.80  +38.6   1.2   27   N I N      4.7    0.11 1
20641      22.65   0.84  +32.0   2.5    2   N I N      4.9    3.27 1
20648      22.05   0.77  +38.7   1.3   14   I N C      1.5    0.05 1
20661      21.47   0.97  +39.1  0.5   15   SB I C     0.8    0.56 1
20679      20.79   1.83  +37.0  7.5   21   SB M C     2.1    0.82 1
20686      23.08   1.22  +40.72 0.47   1   SB I C     3.5    1.04 1
20693      22.03   0.90  +29.67  0.30   1   N N N      9.3   17.54 0
20711      21.07   0.80  +35.6   0.6   16   N I N      5.2    1.28 1
20712      21.54   0.97  +38.77  0.14   1   SB N N     3.9    1.01 1
20713      20.86   0.84  +40.8   4.26  19   SB N N     1.8    3.65 1
20719      21.76   1.46  +39.39 0.31   1   SB N N     0.5    3.35 1
20741      21.42   1.54  +40.23  0.28   1   N N N      0.4    0.24 1
20745      28.27   3.17  +41.38  0.18   1   N M C     11.3    1.24 1
20751      23.03   1.66  +41.12 0.20   1   SB N N     5.4    1.32 1
20762      21.83   2.29  +41.22  0.21   1   N N N      2.9    0.43 1
20810       8.66   2.61  +60.94  0.06   1   N N N     69.1   87.60 0
20815      21.83   1.01  +39.32  0.24   1   N N N      1.0    0.14 1
20826      21.18   1.04  +40.22  0.21   1   N N N      4.1    0.30 1
20827      17.29   2.23  +40.46  0.07   1   N N N     11.7    1.17 1
20842      20.85   0.86  +37.5   3.3   11   N I N      4.4    0.12 1
20850      21.29   1.91  +40.94  0.08   1   N N N      2.4    0.27 1
20873      18.42   1.93  +40.6   0.3   24   N N X      8.1    2.10 1
20885      20.66   0.85  +40.17 0.08   1   SB I N     2.1    3.31 1
20889      21.04   0.82  +39.37  0.06   1   N I N      2.4    0.25 1
20890      20.09   1.11  +39.91  0.08   1   SB N N     4.3    0.78 1
20894      21.89   0.83  +38.9   0.2   17   SB I N     0.9    0.05 1
20899      21.09   1.08  +39.99  0.16   1   N N N      1.2    0.14 1
20901      20.33   0.84  +39.9   4.1   11   N N N      4.1    0.26 1
20916      20.58   1.74  +45.0  2.5    2   SB I C     2.3    3.93 1
20935      23.25   1.04  +39.90  0.11   1   SB N O     3.4    0.77 1
20948      21.59   1.09  +38.62  0.24   1   N I N      1.0    0.04 1
20949      17.08   1.18  +39.02  0.17   1   N N N     15.2    0.47 1
20951      24.19   1.76  +40.70  0.06   1   N I N      5.1    0.84 1
20952       7.68   1.27  +96.3   1.2    2   N N N     83.9  512.19 0
20978      24.71   1.27  +40.97  0.06   1   N N N      5.9    1.69 1
20995      22.93   1.25  +29.3   5.00  18   SB I C     2.9    3.30 1
21008      19.94   0.93  +38.0  2.5    2   SB N N     4.7    1.28 1
21019       3.52   1.98  +47.89  0.26   1   N N N    237.8   15.22 0
21029      22.54   0.77  +41.0   1.8   13   N I N      2.1    0.75 1
21036      21.84   0.89  +38.8   1.2    2   N I N      2.5    0.14 1
21039      22.55   1.09  +39.56  0.23  24   SB I N     2.2    0.35 1
21053      24.28   0.79  +40.9   1.3    8   N I N      5.2    3.77 1
21066      22.96   0.99  +41.35  0.26   1   N N N      5.4    1.03 1
21092      19.64   9.61    N   N        0   H N C     13.3    0.95 ?
21099      21.81   1.25  +40.62  0.08   1   N N N      2.9    0.38 1
21112      19.46   1.02  +40.98  0.31   1   N N N      5.6    0.44 1
21123      23.41   1.65  +40.38  0.11   1   SB N O     3.8    0.41 1
21137      22.25   1.14  +36.0  2.5    2   SB N N     1.7    2.23 1
21138      15.11   4.75  +41.28  0.21   1   N N N     19.9    1.08 1
21152      23.13   0.92  +39.8   1.0   24   N N N      9.4    0.20 1
21179      17.55   2.97  +41.70 1.0   24   SB N N    11.1    2.01 1
21194       9.42   2.76    N   N        0   N N N     60.1   69.56 0
21256      24.98   1.95  +41.39  0.20   1   N N N      7.2    1.19 1
21261      21.06   2.21  +41.43  0.15   1   N N N      2.5    0.42 1
21267      22.80   0.98  +36.9   0.9    8   N N N      3.8    1.38 1
21273      21.39   1.24  +37.7   0.9   28   SB N O     1.9    1.18 1
21280      24.02   1.68  +37.6  1.2    2   SB M C     5.0    2.83 1
21306      12.62   1.96  -81.8   6.9   22   N N N     33.2  375.20 0
21317      23.19   1.30  +40.78  0.16   1   N N N      3.6    0.53 1
21332       9.87   1.02    N   N        0   N N N     55.0   19.28 0
21353       6.81   1.34  +28.95  0.19   1   N N N    101.9   47.17 0
21395      13.51   1.32  +40.37  0.24   1   SB N N    28.1   14.28 0
21459      22.60   0.76  +43.3   1.2    2   N N N      5.9    3.40 1
21474      22.99   0.95  +33.7  1.2    2   SB N N     3.3    6.02 1
21475      18.93   1.75    N   N        0   N I N      7.9   20.92 0
21482      56.02   1.21  +36.18  0.08   1   SB N N    29.0    1.56 1
21543      23.54   1.29  +42.00 0.33   1   SB N G     4.4    4.81 1
21588      21.96   1.04  +38.4   1.2    2   N I G      2.2    6.01 1
21589      21.79   0.79  +44.7  5.00   2   SB I N     3.9    0.74 1
21637      22.60   0.91  +39.86  0.29   1   N N N      5.9    0.33 1
21654      20.81   1.30  +41.86 0.12   1   SB N N     3.5    0.74 1
21670      19.44   0.86  +36.3   1.2    2   N I N      9.4    3.34 1
21673      21.49   0.96  +26.1   0.7   11   SB I G     2.3  124.44 0
21683      20.51   0.82  +35.6   2.5   19   N I N      3.4    2.91 1
21684       9.56   1.73  +30.69  0.20   1   N N N     58.7   63.17 0
21723      23.95   1.63  +42.50  0.19   1   N N N      5.9    0.53 1
21741      15.96   1.36  +41.34  0.16   1   N N N     17.7    0.52 1
21762      23.65   2.53  +40.90  0.17   1   SB M C     4.7    0.76 1
21788      19.48   1.26  +35.85  0.05   1   N N N      8.3    7.85 1
21829       5.88   0.97  +35.7   1.2    2   N N N    126.7   47.56 0
21923      23.23   1.25  +13.57  0.20   1   N I N      4.6  211.77 0
21946      21.10   2.22  +14.49  0.23   1   SB N N     3.5  178.36 0
21983      21.48   1.84  +24.47  0.34   1   N N N      5.4   82.06 0
22044      20.73   0.88  +39.6   0.5    2   N I N      5.9    1.18 1
22105       9.08   1.79  +25.94  0.11   1   N N N     64.1   71.72 0
22157      12.24   0.86  +43.0   1.0   11   SB I N    36.1    4.32 1
22176      10.81   0.94  +44.11  0.10   1   SB N N    46.5   62.75 0
22177      22.45   2.32  +43.16  0.25   1   N N N     11.1    0.36 1
22203      19.42   1.09  +42.42 0.71   1   SB N N     6.5    0.76 1
22221      26.26   1.04  +42.47 0.11   1   SB N G    10.5    5.44 1
22224      24.11   1.72  +40.32 0.09   1   SB N N     6.0    0.38 1
22253      15.74   1.98  +41.78  0.23   1   N N N     18.7    1.09 1
22265      19.81   1.43  +39.8  0.4   15   SB N N     5.9    1.79 1
22271      22.07   2.03  +40.30  0.17   1   N N N      8.5    4.18 1
22350      19.30   1.67  +41.84 0.44   1   SB N G     7.9    0.72 1
22380      21.38   1.46  +41.62  0.15   1   N N N      4.4    0.97 1
22394      18.96   1.62  +40.60  0.31   1   SB N N    10.4    0.34 1
22422      19.68   0.96  +42.04  0.14   1   N N N      6.3    0.53 1
22446      13.26   1.11  +31.84  0.14   1   N N N     30.3   35.59 0
22496      22.96   1.17  +41.40  0.16  24   SB N G     5.1    1.31 1
22505      23.64   0.99  +42.34 0.33   1   SB N S     6.0    1.75 1
22524      19.30   0.95  +42.74  0.17   1   SB N N     7.2    0.80 1
22550      20.15   1.14  +42.44 0.17   1   SB I C     7.4    0.83 1
22565      17.27   0.82  +36.8   1.2    2   N I N     12.8    4.10 1
22566      17.14   1.00  +42.92  0.19   1   N N N     13.1    1.19 1
22607      23.91   1.04  +39.83  0.24   1   SB I C     6.7    1.87 1
22654      18.93   2.02  +42.88  0.25   1   N N N      8.4    0.58 1
22684      12.14   2.22  +48.53  0.08   1   I N C     36.7   17.34 0
22751      11.62   1.95  +48.72  0.18   1   N N N     40.9   16.84 0
22782      14.82   0.88  +57.10  0.23   1   N N N     22.0   95.23 0
22805       5.52   1.29  +19.14  0.33   1   SB N N   135.2  114.49 0
22850      14.67   0.95  +38.4   2.0    8   N N N     22.9    1.27 1
22893       9.66   1.43  -30.57  0.26   1   N N N     58.3  993.75 0
23044      12.62   1.89  +37.96  0.17   1   I N C     37.6   13.12 1
23056      14.29   1.48  +60.93  0.17   1   N N N     26.8  109.89 0
23069      19.66   1.62  +43.68  0.16   1   N N N      7.9    0.80 1
23205      10.73   1.66    N   N        0   I N C     50.5    8.53 ?
23214      23.09   0.83  +42.5   1.5   24   N I N      6.7    0.30 1
23312      16.77   1.79  +42.21  0.40  24   N N N     18.7    1.18 1
23409      11.39   1.66  +78.64  0.36   1   N N N     45.5  358.75 0
23497      20.01   0.91  +38.0   1.7    8   N N N      8.9    1.29 1
23498      18.44   1.66  +43.51  0.19   1   N N G     11.1    0.08 1
23574       2.26   1.27  +30.22  0.19   1   N N N    396.8   31.53 0
23589       5.30   0.81  +49.35  0.21   1   N N N    143.2   40.64 0
23599       3.98   1.61 +111.51  0.37   1   N N N    205.9  855.75 0
23662      16.69   1.12    N   N        0   N N O     18.6    4.30 ?
23701      13.78   2.08  +42.92 0.16   1   SB N G    29.7    2.37 1
23750      18.78   1.40  +42.31  0.18  24   N N N     10.6    0.15 1
23772      12.00   1.87  +35.38 0.93  24   RV H C    39.7   11.47 1
23983      18.54   0.83  +44.16  0.14  24   SB I N    13.0    0.55 1
24019      18.28   1.30  +44.90  0.52  24   I N C     15.5    5.84 1
24020      18.28   1.30  +45.00  0.19   1   I N C     15.5   36.00 0
24021      21.39   1.21    N   N        0   N N N     11.3    9.56 ?
24035      25.67   1.53  +16.48 0.39   1   SB I N    13.1  175.91 0
24046      24.88   1.06    N   N        0   N I N     12.6   54.92 0
24116      11.56   1.19  +45.30  1.20   2   N N N     41.9    1.87 1
24923      18.26   1.58  +43.70  0.23  24   N N N     14.7    0.17 1
25141      9.40   1.48  +34.54  0.24   1    N N G     63.7   24.65 0
25639      11.58   1.13  +42.1   0.43  24   N N N     46.3   14.11 1
25694      11.17   1.28    N   N        0   N N N     46.4   11.21 ?
25871      11.55   0.91    N   N        0   N N N     45.0    1.32 ?
25929       6.74   1.40  +33.22  0.34   1   N N N    104.9   30.90 0
26159      11.13   1.39    N   N        0   N N S     47.3   10.82 ?
26227       0.72   1.90  +46.64  0.24   1   N N N   1345.6    4.57 0
26382      18.56   0.86  +41.1   1.2    2   N N N     16.2    2.07 1
26795       6.93   1.13  +27.1   0.27  23   SB N N   102.9   66.29 0
26844      46.51   2.35    N   N        0   N N N     26.7    2.78 ?
27431      13.11   0.87    N   N        0   N N N     37.4    8.89 ?
27502       6.15   1.25    N   N        0   N N G    120.0   10.01 0
27791      11.50   6.04    N   N        0   N I X/S   49.7    1.46 ?
27933      12.76   0.94    N   N        0   N N N     39.2   33.71 0
28356      14.87   0.98  +45.00  2.50   2   N N N     33.1    0.53 1
28469      10.52   0.99  +48.00  5.00   2   N N N     56.3   10.27 1
28614      21.49   0.82  +40.9   0.3   20   SB I C    19.3   26.99 0
28774      12.81  12.80    N   N        0   I N C     41.6   11.50 ?
