 0.030000 8.0000 1.00000000 1.0000 -0.2352 3.7320 4.5471 5.358 6.879 6.437 5.584 5.106 4.713 4.178 3.766 3.715 3.14080405 1
 0.030000 8.0000 1.01779854 1.0178 -0.1974 3.7368 4.5364 5.264 6.714 6.307 5.475 5.008 4.624 4.103 3.704 3.654 3.14559150 1
 0.030000 8.0000 1.04999995 1.0500 -0.1323 3.7452 4.5184 5.101 6.430 6.085 5.289 4.840 4.470 3.975 3.596 3.550 3.15380883 1
 0.030000 8.0000 1.10000002 1.1000 -0.0330 3.7575 4.4883 4.853 6.020 5.755 5.011 4.590 4.239 3.779 3.430 3.387 3.16554141 1
 0.030000 8.0000 1.14999998 1.1500 0.0632 3.7689 4.4570 4.612 5.640 5.441 4.747 4.351 4.017 3.590 3.266 3.227 3.17617631 1
 0.030000 8.0000 1.20000005 1.2000 0.1559 3.7795 4.4253 4.380 5.291 5.146 4.497 4.123 3.805 3.407 3.106 3.071 3.18585706 1
 0.030000 8.0000 1.25000000 1.2500 0.2436 3.7893 4.3946 4.161 4.980 4.872 4.264 3.910 3.608 3.235 2.955 2.922 3.19470429 1
 0.030000 8.0000 1.29999995 1.3000 0.3260 3.7988 4.3671 3.955 4.686 4.614 4.045 3.710 3.423 3.074 2.814 2.784 3.20280719 1
 0.030000 8.0000 1.35000002 1.3500 0.4065 3.8074 4.3375 3.754 4.425 4.370 3.835 3.517 3.244 2.917 2.674 2.645 3.21023273 1
 0.030000 8.0000 1.39999998 1.4000 0.4800 3.8162 4.3151 3.570 4.183 4.144 3.643 3.342 3.084 2.778 2.553 2.526 3.21705914 1
 0.030000 8.0000 1.45000005 1.4500 0.5499 3.8247 4.2943 3.395 3.953 3.929 3.460 3.176 2.932 2.646 2.438 2.413 3.22335362 1
 0.030000 8.0000 1.50000000 1.5000 0.6180 3.8333 4.2754 3.225 3.746 3.724 3.284 3.017 2.788 2.522 2.330 2.306 3.22917390 1
 0.030000 8.0000 1.54999995 1.5500 0.6823 3.8420 4.2600 3.064 3.548 3.528 3.118 2.868 2.654 2.407 2.232 2.209 3.23456979 1
 0.030000 8.0000 1.60000002 1.6000 0.7435 3.8513 4.2500 2.911 3.358 3.338 2.959 2.728 2.530 2.304 2.147 2.125 3.23958373 1
 0.030000 8.0000 1.64999998 1.6500 0.8028 3.8618 4.2460 2.763 3.182 3.156 2.807 2.598 2.419 2.215 2.076 2.056 3.24424219 1
 0.030000 8.0000 1.67499995 1.6750 0.8307 3.8674 4.2471 2.693 3.097 3.068 2.736 2.538 2.368 2.176 2.047 2.028 3.24644756 1
 0.030000 8.0000 1.70000005 1.7000 0.8589 3.8730 4.2476 2.623 3.011 2.979 2.663 2.476 2.317 2.137 2.018 1.999 3.24857616 1
 0.030000 8.0000 1.72500002 1.7250 0.8865 3.8784 4.2480 2.554 2.931 2.894 2.594 2.418 2.269 2.099 1.989 1.971 3.25063133 1
 0.030000 8.0000 1.75000000 1.7500 0.9134 3.8841 4.2498 2.486 2.855 2.812 2.528 2.363 2.224 2.065 1.964 1.947 3.25261688 1
 0.030000 8.0000 1.77499998 1.7750 0.9400 3.8893 4.2506 2.420 2.779 2.732 2.462 2.308 2.178 2.030 1.937 1.920 3.25453615 1
 0.030000 8.0000 1.79999995 1.8000 0.9660 3.8945 4.2511 2.355 2.705 2.653 2.398 2.254 2.134 1.995 1.910 1.894 3.25639176 1
 0.030000 8.0000 1.82500005 1.8250 0.9918 3.8995 4.2515 2.290 2.633 2.575 2.334 2.201 2.089 1.961 1.883 1.868 3.25818729 1
 0.030000 8.0000 1.83679140 1.8368 1.0039 3.9018 4.2514 2.260 2.599 2.541 2.306 2.177 2.069 1.945 1.870 1.855 3.25901413 1
 0.030000 8.0000 1.85000002 1.8500 1.0173 3.9044 4.2513 2.227 2.563 2.502 2.275 2.151 2.047 1.927 1.856 1.841 3.25992513 1
 0.030000 8.0000 1.87500000 1.8750 1.0419 3.9092 4.2518 2.165 2.495 2.431 2.219 2.104 2.008 1.896 1.831 1.816 3.26160812 1
 0.030000 8.0000 1.89999998 1.9000 1.0664 3.9138 4.2517 2.104 2.427 2.361 2.162 2.056 1.968 1.864 1.805 1.790 3.26323819 1
 0.030000 8.0000 1.92499995 1.9250 1.0906 3.9184 4.2514 2.044 2.361 2.292 2.107 2.010 1.929 1.832 1.779 1.765 3.26481819 1
 0.030000 8.0000 1.95000005 1.9500 1.1144 3.9227 4.2507 1.984 2.296 2.224 2.052 1.963 1.889 1.800 1.752 1.739 3.26635003 1
